label	element_name	interpro_id
51	Hydroxymethylglutaryl-CoA reductase, class I/II, NAD/NADP-binding domain superfamily	IPR009023
52	Large ribosomal subunit protein bL9/RNase H1, N-terminal	IPR009027
53	Growth factor receptor cysteine-rich domain superfamily	IPR009030
54	Calreticulin/calnexin, P domain superfamily	IPR009033
55	Hedgehog signalling/DD-peptidase zinc-binding domain superfamily	IPR009045
56	Globin-like superfamily	IPR009050
57	Alpha-helical ferredoxin	IPR009051
58	Prefoldin	IPR009053
59	Homedomain-like superfamily	IPR009057
60	UBA-like superfamily	IPR009060
61	Putative DNA-binding domain superfamily	IPR009061
62	uS15/NS1, RNA-binding domain superfamily	IPR009068
63	Histone-fold	IPR009072
64	Ferritin-like superfamily	IPR009078
65	Four-helical cytokine-like, core	IPR009079
66	Aminoacyl-tRNA synthetase, class Ia, anticodon-binding	IPR009080
67	Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II	IPR009091
68	Cyclic phosphodiesterase	IPR009097
69	Acyl-CoA dehydrogenase/oxidase, N-terminal and middle domain superfamily	IPR009100
70	Haem peroxidase superfamily	IPR010255
71	SAND-like domain superfamily	IPR010919
72	LSM domain superfamily	IPR010920
73	Trp repressor/replication initiator	IPR010921
74	Class I and II aminoacyl-tRNA synthetase, tRNA-binding arm	IPR010978
75	Small ribosomal subunit protein uS13-like, H2TH	IPR010979
76	Lambda repressor-like, DNA-binding domain superfamily	IPR010982
77	Ribbon-helix-helix	IPR010985
78	SNARE	IPR010989
79	Integration host factor (IHF)-like DNA-binding domain superfamily	IPR010992
80	RuvA domain 2-like	IPR010994
81	DNA repair Rad51/transcription factor NusA, alpha-helical	IPR010995
82	HRDC-like superfamily	IPR010997
83	Integrase/recombinase, N-terminal	IPR010998
84	Trimeric LpxA-like superfamily	IPR011004
85	Dihydropteroate synthase-like superfamily	IPR011005
86	CheY-like superfamily	IPR011006
87	Dimeric alpha-beta barrel	IPR011008
88	Protein kinase-like domain superfamily	IPR011009
89	DNA breaking-rejoining enzyme, catalytic core	IPR011010
90	Zinc finger, FYVE/PHD-type	IPR011011
91	Longin-like domain superfamily	IPR011012
92	Galactose mutarotase-like domain superfamily	IPR011013
93	Gamma-crystallin-like	IPR011024
94	G protein alpha subunit, helical insertion	IPR011025
95	Death-like domain superfamily	IPR011029
96	GroES-like superfamily	IPR011032
97	PRC-barrel-like superfamily	IPR011033
98	Formyl transferase-like, C-terminal domain superfamily	IPR011034
99	Large ribosomal subunit protein bL25/Gln-tRNA synthetase, anti-codon-binding domain superfamily	IPR011035
100	Pyruvate kinase-like, insert domain superfamily	IPR011037
101	Six-bladed beta-propeller, TolB-like	IPR011042
102	Galactose oxidase/kelch, beta-propeller	IPR011043
103	Nitrous oxide reductase, N-terminal	IPR011045
104	Quinoprotein alcohol dehydrogenase-like superfamily	IPR011047
105	Serralysin-like metalloprotease, C-terminal	IPR011049
106	Pectin lyase fold/virulence factor	IPR011050
107	RmlC-like cupin domain superfamily	IPR011051
108	Single hybrid motif	IPR011053
109	Rudiment single hybrid motif	IPR011054
110	Duplicated hybrid motif	IPR011055
111	Mss4-like superfamily	IPR011057
112	Metal-dependent hydrolase, composite domain superfamily	IPR011059
113	Ribulose-phosphate binding barrel	IPR011060
114	Kunitz inhibitor STI-like superfamily	IPR011065
115	Malate synthase superfamily	IPR011076
116	MHC classes I/II-like antigen recognition protein	IPR011162
117	Metalloenzyme, LuxS/M16 peptidase-like	IPR011249
118	Outer membrane protein/outer membrane enzyme PagP, beta-barrel	IPR011250
119	Prismane-like superfamily	IPR011254
120	Regulatory factor, effector binding domain superfamily	IPR011256
121	DNA glycosylase	IPR011257
122	Nitrogen regulatory PII-like, alpha/beta	IPR011322
123	Mss4/translationally controlled tumour-associated TCTP	IPR011323
124	Cytotoxic necrotizing factor-like, catalytic	IPR011324
125	Glycoside hydrolase/deacetylase, beta/alpha-barrel	IPR011330
126	Large ribosomal subunit protein eL37/eL43	IPR011331
127	Zinc-binding ribosomal protein	IPR011332
128	SKP1/BTB/POZ domain superfamily	IPR011333
129	UDP-3-O-acyl N-acetylglucosamine deacetylase, C-terminal	IPR011334
130	Restriction endonuclease type II-like	IPR011335
131	PD-(D/E)XK endonuclease-like domain superfamily	IPR011604
132	tRNA endonuclease-like domain superfamily	IPR011856
133	Armadillo-like helical	IPR011989
134	Tetratricopeptide-like helical domain superfamily	IPR011990
135	EF-hand domain pair	IPR011992
136	PH-like domain superfamily	IPR011993
137	Globin/Protoglobin	IPR012292
138	TBP domain superfamily	IPR012295
139	Pectin lyase fold	IPR012334
140	Ribonuclease H-like superfamily	IPR012337
141	Beta-lactamase/transpeptidase-like	IPR012338
142	Nucleic acid-binding, OB-fold	IPR012340
143	Six-hairpin glycosidase-like superfamily	IPR012341
144	Ferritin-like	IPR012347
145	Ribonucleotide reductase-like	IPR012348
146	FMN-binding split barrel	IPR012349
147	Calycin	IPR012674
148	Beta-grasp domain superfamily	IPR012675
149	TGS-like	IPR012676
150	Nucleotide-binding alpha-beta plait domain superfamily	IPR012677
151	Ribosomal protein uL23/eL15/eS24 core domain superfamily	IPR012678
152	Phosphoenolpyruvate carboxykinase, C-terminal	IPR013035
153	Zinc finger, RING/FYVE/PHD-type	IPR013083
154	Zinc finger, NHR/GATA-type	IPR013088
155	Glycoside hydrolase family 11/12	IPR013319
156	Concanavalin A-like lectin/glucanase domain superfamily	IPR013320
157	Arc-type ribbon-helix-helix	IPR013321
158	RNA polymerase sigma factor, region 3/4-like	IPR013324
159	RNA polymerase sigma factor, region 2	IPR013325
160	6-phosphogluconate dehydrogenase, domain 2	IPR013328
161	DNA topoisomerase, type IIA, alpha-helical domain superfamily	IPR013757
162	DNA topoisomerase, type IIA, domain A, alpha-beta	IPR013758
163	DNA topoisomerase, type IIA, subunit B, C-terminal	IPR013759
164	DNA topoisomerase, type IIA-like domain superfamily	IPR013760
165	Sterile alpha motif/pointed domain superfamily	IPR013761
166	Integrase-like, catalytic domain superfamily	IPR013762
167	Glycosyl hydrolase, all-beta	IPR013780
168	Immunoglobulin-like fold	IPR013783
169	Carbohydrate-binding-like fold	IPR013784
170	Aldolase-type TIM barrel	IPR013785
171	RNA 3'-terminal phosphate cyclase/enolpyruvate transferase, alpha/beta	IPR013792
172	GrpE nucleotide exchange factor, coiled-coil	IPR013805
173	Kringle-like fold	IPR013806
174	ATP-grasp fold, subdomain 1	IPR013815
175	DNA topoisomerase, type IA, central region, subdomain 1	IPR013824
176	DNA topoisomerase, type IA, central region, subdomain 2	IPR013825
177	DNA topoisomerase, type IA, central region, subdomain 3	IPR013826
178	Cytochrome c oxidase, subunit III, 4-helical bundle	IPR013833
179	Tautomerase/MIF superfamily	IPR014347
180	FERM/acyl-CoA-binding protein superfamily	IPR014352
181	RmlC-like jelly roll fold	IPR014710
182	Fibrinogen, alpha/beta/gamma chain, C-terminal globular, subdomain 1	IPR014716
183	Translation elongation factor EF1B/small ribosomal subunit protein bS6	IPR014717
184	Glycoside hydrolase-type carbohydrate-binding	IPR014718
185	Ribosomal protein bL12, C-terminal/adaptor protein ClpS-like	IPR014719
186	Small ribosomal subunit protein uS5 domain 2-type fold, subgroup	IPR014721
187	Large ribosomal subunit protein uL2, domain 2	IPR014722
188	RNA polymerase Rpb2, OB-fold	IPR014724
189	Large ribosomal subunit protein uL2, domain 3	IPR014726
190	Rossmann-like alpha/beta/alpha sandwich fold	IPR014729
191	Chloride channel, core	IPR014743
192	Glutamine synthetase/guanido kinase, catalytic domain	IPR014746
193	Enoyl-CoA hydratase, C-terminal	IPR014748
194	DNA repair protein XRCC4-like, C-terminal	IPR014751
195	Arrestin-like, C-terminal	IPR014752
196	Immunoglobulin E-set	IPR014756
197	Tetrapyrrole methylase, subdomain 2	IPR014776
198	Tetrapyrrole methylase, subdomain 1	IPR014777
199	DNA-binding pseudobarrel domain superfamily	IPR015300
200	Pyridoxal phosphate-dependent transferase, major domain	IPR015421
201	Pyridoxal phosphate-dependent transferase, small domain	IPR015422
202	Pyridoxal phosphate-dependent transferase	IPR015424
203	NUDIX hydrolase-like domain superfamily	IPR015797
204	Pyruvate kinase, insert domain superfamily	IPR015806
205	Pyruvate/Phosphoenolpyruvate kinase-like domain superfamily	IPR015813
206	Phosphoglycerate kinase, N-terminal	IPR015824
207	Nitrogen regulatory protein PII/ATP phosphoribosyltransferase, C-terminal	IPR015867
208	UDP-3-O-acyl N-acetylglucosamine deacetylase, N-terminal	IPR015870
209	Kelch-type beta propeller	IPR015915
210	Cadherin-like superfamily	IPR015919
211	Aconitase/3-isopropylmalate dehydratase, swivel	IPR015928
212	Aconitase/3-isopropylmalate dehydratase large subunit, alpha/beta/alpha, subdomain 1/3	IPR015931
213	WD40/YVTN repeat-like-containing domain superfamily	IPR015943
214	K homology domain-like, alpha/beta	IPR015946
215	PUA-like superfamily	IPR015947
216	Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal	IPR015955
217	Armadillo-type fold	IPR016024
218	Signal transduction response regulator, C-terminal effector	IPR016032
219	Acyl transferase/acyl hydrolase/lysophospholipase	IPR016035
220	Malonyl-CoA ACP transacylase, ACP-binding	IPR016036
221	Thiolase-like	IPR016039
222	Alpha-D-phosphohexomutase, alpha/beta/alpha I/II/III	IPR016055
223	NAD kinase/diacylglycerol kinase-like domain superfamily	IPR016064
224	S-adenosylmethionine decarboxylase, core	IPR016067
225	Haem oxygenase-like, multi-helical	IPR016084
226	Large ribosomal subunit protein uL1, 3-layer alpha/beta-sandwich domain	IPR016095
227	Cyclase-associated protein CAP/septum formation inhibitor MinC, C-terminal	IPR016098
228	Prismane-like, alpha/beta-sandwich	IPR016099
229	Prismane, alpha-bundle	IPR016100
230	Succinyl-CoA synthetase-like	IPR016102
231	ArgJ-like domain superfamily	IPR016117
232	Ubiquitin-conjugating enzyme/RWD-like	IPR016135
233	Citrate synthase-like, large alpha subdomain	IPR016142
234	Citrate synthase-like, small alpha subdomain	IPR016143
235	DNA mismatch repair protein MutS, N-terminal	IPR016151
236	Phosphotransferase/anion transporter	IPR016152
237	Heat shock protein Hsp33, N-terminal	IPR016153
238	Heat shock protein Hsp33, C-terminal	IPR016154
239	Molybdopterin synthase/thiamin biosynthesis sulphur carrier, beta-grasp	IPR016155
240	FAD/NAD-linked reductase, dimerisation domain superfamily	IPR016156
241	Cullin repeat-like-containing domain superfamily	IPR016159
242	Aldehyde/histidinol dehydrogenase	IPR016161
243	Aldehyde dehydrogenase, N-terminal	IPR016162
244	Aldehyde dehydrogenase, C-terminal	IPR016163
245	FAD-binding, type PCMH, subdomain 1	IPR016167
246	FAD-binding, type PCMH, subdomain 2	IPR016169
247	Di-haem cytochrome, transmembrane	IPR016174
248	DNA-binding domain superfamily	IPR016177
249	Acyl-CoA N-acyltransferase	IPR016181
250	Pre-ATP-grasp domain superfamily	IPR016185
251	C-type lectin-like/link domain superfamily	IPR016186
252	C-type lectin fold	IPR016187
253	Cytidine deaminase-like	IPR016193
254	SPOC-like, C-terminal domain superfamily	IPR016194
255	Polymerase/histidinol phosphatase-like	IPR016195
256	Chromo-like domain superfamily	IPR016197
257	ATP-NAD kinase, PpnK-type, C-terminal	IPR017437
258	Inorganic polyphosphate/ATP-NAD kinase, N-terminal	IPR017438
259	Prolyl-tRNA synthetase, class II	IPR017449
260	Alkaline-phosphatase-like, core domain superfamily	IPR017850
261	Glycoside hydrolase superfamily	IPR017853
262	Metallothionein domain superfamily	IPR017854
263	Integrase-like, N-terminal	IPR017856
264	Riboflavin synthase-like beta-barrel	IPR017938
265	Bactericidal permeability-increasing protein, alpha/beta domain superfamily	IPR017943
266	DHBP synthase RibB-like alpha/beta domain superfamily	IPR017945
267	PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily	IPR017946
268	Alanine-tRNA ligase, class IIc, anti-codon-binding domain superfamily	IPR018162
269	Threonyl/alanyl tRNA synthetase, class II-like, putative editing domain superfamily	IPR018163
270	Cyclic nucleotide-binding domain superfamily	IPR018490
271	Large ribosomal subunit protein bL25/Gln-tRNA synthetase, N-terminal	IPR020056
272	Glutamine-tRNA ligase, alpha-bundle domain superfamily	IPR020061
273	Pseudouridine synthase TruA/RsuA/RluB/E/F, N-terminal	IPR020094
274	Pseudouridine synthase I, TruA, C-terminal	IPR020095
275	Pseudouridine synthase, catalytic domain superfamily	IPR020103
276	Ribosomal protein uS5 domain 2-type superfamily	IPR020568
277	Aminoacyl-tRNA synthetase, class I, anticodon-binding domain, subdomain 2	IPR020751
278	Glutamate-tRNA synthetase, class I, anticodon-binding domain, subdomain 1	IPR020752
279	Phenylalanyl-tRNA synthetase-like, B3/B4	IPR020825
280	Catalase superfamily	IPR020835
281	Serum albumin-like	IPR020858
282	Aspartic peptidase domain superfamily	IPR021109
283	S-adenosylmethionine synthetase superfamily	IPR022636
284	Large ribosomal subunit protein uL5 domain superfamily	IPR022803
285	Indigoidine synthase A-like	IPR022830
286	Metalloprotease catalytic domain superfamily, predicted	IPR023091
287	ScpA-like, C-terminal	IPR023093
288	Phosphoglucose isomerase, C-terminal	IPR023096
289	Winged helix-turn-helix transcription repressor, HrcA, inserted dimerising domain superfamily	IPR023120
290	Tubulin, C-terminal	IPR023123
291	tRNA (guanine-N(1)-)-methyltransferase, C-terminal domain superfamily	IPR023148
292	Trans-aconitate 2-methyltransferase, C-terminal	IPR023149
293	Dual-action ribosomal maturation protein DarP superfamily	IPR023153
294	rRNA adenine dimethylase-like, C-terminal	IPR023165
295	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, C-terminal, domain 2	IPR023168
296	Helix-hairpin-helix, base-excision DNA repair, C-terminal	IPR023170
297	Na+/H+ antiporter domain superfamily	IPR023171
298	NADPH-cytochrome p450 reductase, FAD-binding, alpha-helical domain superfamily	IPR023173
299	Nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase, N-terminal	IPR023195
300	Phosphoglycolate phosphatase-like, domain 2	IPR023198
301	SecY domain superfamily	IPR023201
302	YejL-like superfamily	IPR023202
303	DNA polymerase, palm domain superfamily	IPR023211
304	Heat shock protein Hsp33, helix hairpin bin domain superfamily	IPR023212
305	Chloramphenicol acetyltransferase-like domain superfamily	IPR023213
306	HAD superfamily	IPR023214
307	GSKIP domain superfamily	IPR023231
308	Aquaporin-like	IPR023271
309	Glycosyl hydrolase, five-bladed beta-propeller domain superfamily	IPR023296
310	P-type ATPase, transmembrane domain superfamily	IPR023298
311	P-type ATPase, cytoplasmic domain N	IPR023299
312	BH2638-like superfamily	IPR023324
313	Lysozyme-like domain superfamily	IPR023346
314	Myotoxin/Anemone neurotoxin domain superfamily	IPR023355
315	ATP synthase subunit alpha, N-terminal domain-like superfamily	IPR023366
316	YheA/YmcA-like domain superfamily	IPR023378
317	DsbB-like superfamily	IPR023380
318	tRNA-specific 2-thiouridylase MnmA-like, central domain superfamily	IPR023382
319	Protein translocase SecE domain superfamily	IPR023391
320	START-like domain superfamily	IPR023393
321	Mitochondrial carrier domain superfamily	IPR023395
322	S-adenosyl-L-methionine-dependent methyltransferase, MraW, recognition domain superfamily	IPR023397
323	Translation Initiation factor eIF- 4e-like	IPR023398
324	DNA recombination and repair protein RecA, C-terminal, superfamily	IPR023400
325	Radical SAM, alpha/beta horseshoe	IPR023404
326	DNA topoisomerase, type IA, core domain	IPR023405
327	Peptidase HybD-like domain superfamily	IPR023430
328	Methionine repressor MetJ domain superfamily	IPR023453
329	Riboflavin kinase domain superfamily	IPR023465
330	Cytochrome c oxidase assembly protein CtaG/Cox11, domain superfamily	IPR023471
331	Peptidyl-tRNA hydrolase II domain superfamily	IPR023476
332	D-aminoacyl-tRNA deacylase-like superfamily	IPR023509
333	Large ribosomal subunit protein uL4 domain superfamily	IPR023574
334	Small ribosomal subunit protein uS19, superfamily	IPR023575
335	Ras guanine nucleotide exchange factor domain superfamily	IPR023578
336	Metallothionein domain superfamily, vertebrate	IPR023587
337	Small ribosomal subunit protein uS2, flavodoxin-like domain superfamily	IPR023591
338	CoA-transferase family III domain 1 superfamily	IPR023606
339	Porin domain superfamily	IPR023614
340	Small protein B	IPR023620
341	Large ribosomal subunit protein eL31 domain superfamily	IPR023621
342	Large ribosomal subunit protein eL39 domain superfamily	IPR023626
343	Recombination protein RecR	IPR023627
344	Ribosomal protein uL1-like	IPR023674
345	Ureohydrolase domain superfamily	IPR023696
346	RbsD-like superfamily	IPR023750
347	Ribosome-binding factor A domain superfamily	IPR023799
348	Small ribosomal subunit protein bS16 domain superfamily	IPR023803
349	ATPase, F1/V1 complex, beta/alpha subunit, C-terminal	IPR024034
350	Flagellar assembly factor FliW domain superfamily	IPR024046
351	eRF1, domain 1	IPR024049
352	AICAR transformylase, duplicated domain superfamily	IPR024051
353	Phosphopentomutase DeoB cap domain superfamily	IPR024052
354	Translation initiation factor 2, alpha subunit, middle domain superfamily	IPR024054
355	Translation initiation factor 2, alpha subunit, C-terminal	IPR024055
356	Cytochrome f transmembrane anchor	IPR024058
357	Ureidoglycolate lyase domain superfamily	IPR024060
358	FdhE-like superfamily	IPR024064
359	RGS, subdomain 1/3	IPR024066
360	Dihydrofolate reductase-like domain superfamily	IPR024072
361	Argininosuccinate synthetase mutimerisation domain, C-terminal tail	IPR024073
362	Argininosuccinate synthetase, catalytic/multimerisation domain body	IPR024074
363	Putative deacetylase LmbE-like domain superfamily	IPR024078
364	Metallopeptidase, catalytic domain superfamily	IPR024079
365	Fumarase/histidase, N-terminal	IPR024083
366	5-formyltetrahydrofolate cyclo-ligase-like domain superfamily	IPR024185
367	Large ribosomal subunit protein eL15 core domain superfamily	IPR024794
368	Tubby-like, C-terminal	IPR025659
369	F1F0 ATP synthase OSCP/delta subunit, N-terminal domain superfamily	IPR026015
370	Transcriptional regulator TACO1-like, domain 3	IPR026564
371	Sirtuin, catalytic core small domain superfamily	IPR026591
372	GTP-binding protein TrmE/Aminomethyltransferase GcvT, domain 1	IPR027266
373	AH/BAR domain superfamily	IPR027267
374	Peptidase M4/M1, CTD superfamily	IPR027268
375	Acetolactate synthase/Transcription factor NikR, C-terminal	IPR027271
376	Trigger factor/SurA domain superfamily	IPR027304
377	Voltage-dependent channel domain superfamily	IPR027359
378	Methylthioribose-1-phosphate isomerase, N-terminal	IPR027363
379	tRNA modification GTPase MnmE domain 2	IPR027368
380	Cytochrome b/b6-like domain superfamily	IPR027387
381	DsrEFH-like	IPR027396
382	Catenin binding domain superfamily	IPR027397
383	PNPase/RNase PH domain superfamily	IPR027408
384	GroEL-like apical domain superfamily	IPR027409
385	TCP-1-like chaperonin intermediate domain superfamily	IPR027410
386	GroEL-like equatorial domain superfamily	IPR027413
387	P-loop containing nucleoside triphosphate hydrolase	IPR027417
388	DNA polymerase lambda lyase domain superfamily	IPR027421
389	Homing endonuclease	IPR027434
390	Small ribosomal subunit protein uS13, C-terminal	IPR027437
391	Isopenicillin N synthase-like superfamily	IPR027443
392	5-keto-4-deoxyuronate isomerase, N-terminal	IPR027449
393	Z ring-associated protein D, C-terminal	IPR027462
394	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains	IPR027463
395	Cation efflux transmembrane domain superfamily	IPR027469
396	YbeD-like domain superfamily	IPR027471
397	Succinate dehydrogenase/fumarate reductase flavoprotein, catalytic domain superfamily	IPR027477
398	Periplasmic binding protein-like I	IPR028082
399	Aminoglycoside 3-N-acetyltransferase-like	IPR028345
400	Chorismate pyruvate-lyase/UbiC transcription regulator-associated domain superfamily	IPR028978
401	HPr(Ser) kinase/phosphorylase-like, N-terminal domain superfamily	IPR028979
402	F-type ATP synthase subunit B-like, membrane domain superfamily	IPR028987
403	Integrin alpha, N-terminal	IPR028994
404	Cyclophilin-like domain superfamily	IPR029000
405	Inosine triphosphate pyrophosphatase-like	IPR029001
406	ADF-H/Gelsolin-like domain superfamily	IPR029006
407	Helix hairpin bin domain superfamily	IPR029012
408	[NiFe]-hydrogenase, large subunit	IPR029014
409	GAF-like domain superfamily	IPR029016
410	Enolase-like, N-terminal	IPR029017
411	Beta-hexosaminidase-like, domain 2	IPR029018
412	Ammonium/urea transporter	IPR029020
413	Protein-tyrosine phosphatase-like	IPR029021
414	tRNA (guanine-N1-)-methyltransferase, N-terminal	IPR029026
415	Alpha/beta knot methyltransferases	IPR029028
416	Caspase-like domain superfamily	IPR029030
417	AhpD-like	IPR029032
418	Histidine phosphatase superfamily	IPR029033
419	Cystine-knot cytokine	IPR029034
420	DHS-like NAD/FAD-binding domain superfamily	IPR029035
421	Methionyl-tRNA synthetase, Zn-domain	IPR029038
422	Flavoprotein-like superfamily	IPR029039
423	Glycine cleavage T-protein/YgfZ, C-terminal	IPR029043
424	Nucleotide-diphospho-sugar transferases	IPR029044
425	ClpP/crotonase-like domain superfamily	IPR029045
426	Lipoprotein localisation LolA/LolB/LppX	IPR029046
427	Heat shock protein 70kD, peptide-binding domain superfamily	IPR029047
428	Heat shock protein 70kD, C-terminal domain superfamily	IPR029048
429	Metallo-dependent phosphatase-like	IPR029052
430	Nucleophile aminohydrolases, N-terminal	IPR029055
431	Ribokinase-like	IPR029056
432	Phosphoribosyltransferase-like	IPR029057
433	Alpha/Beta hydrolase fold	IPR029058
434	PIN-like domain superfamily	IPR029060
435	Thiamin diphosphate-binding fold	IPR029061
436	Class I glutamine amidotransferase-like	IPR029062
437	S-adenosyl-L-methionine-dependent methyltransferase superfamily	IPR029063
438	Ribosomal protein eL30-like superfamily	IPR029064
439	PLP-binding barrel	IPR029066
440	Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase	IPR029068
441	HotDog domain superfamily	IPR029069
442	Chitinase insertion domain superfamily	IPR029070
443	Ubiquitin-like domain superfamily	IPR029071
444	YebC-like	IPR029072
445	Creatinase/Aminopeptidase P/Spt16, N-terminal	IPR029149
446	Nucleotide cyclase	IPR029787
447	Metal-dependent hydrolase	IPR032466
448	Leucine-rich repeat domain superfamily	IPR032675
449	Integrin domain superfamily	IPR032695
450	NTF2-like domain superfamily	IPR032710
451	DinB/YfiT-like putative metalloenzymes	IPR034660
452	Arp2/3 complex subunit 2/4	IPR034666
453	Large ribosomal subunit protein bL28/bL31-like superfamily	IPR034704
454	Fumarate reductase/succinate dehydrogenase, transmembrane subunit	IPR034804
455	Fe-S cluster assembly domain superfamily	IPR034904
456	V-type ATPase subunit C/d	IPR035067
457	Tim10-like domain superfamily	IPR035427
458	SNase-like, OB-fold superfamily	IPR035437
459	UPF0145 domain superfamily	IPR035439
460	TFIIS/LEDGF domain superfamily	IPR035441
461	Nuclear hormone receptor-like domain superfamily	IPR035500
462	Invertase/pectin methylesterase inhibitor domain superfamily	IPR035513
463	DNA gyrase/topoisomerase IV, subunit A, C-terminal	IPR035516
464	Ribosomal protein bL20, C-terminal	IPR035566
465	UPF0234, N-terminal	IPR035570
466	UPF0234-like, C-terminal	IPR035571
467	EF-G domain III/V-like	IPR035647
468	Light-harvesting complex	IPR035889
469	C2 domain superfamily	IPR035892
470	HPr-like superfamily	IPR035895
471	AN1-like Zinc finger	IPR035896
472	Toll/interleukin-1 receptor homology (TIR) domain superfamily	IPR035897
473	Dbl homology (DH) domain superfamily	IPR035899
474	GIY-YIG endonuclease superfamily	IPR035901
475	Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain superfamily	IPR035902
476	HesB-like domain superfamily	IPR035903
477	Chorismate synthase AroC superfamily	IPR035904
478	MetI-like superfamily	IPR035906
479	ATP synthase, F0 complex, subunit A superfamily	IPR035908
480	Methylesterase CheB, C-terminal	IPR035909
481	MurE/MurF, N-terminal	IPR035911
482	RPB5-like RNA polymerase subunit superfamily	IPR035913
483	Spermadhesin, CUB domain superfamily	IPR035914
484	EAL domain superfamily	IPR035919
485	YhbY-like superfamily	IPR035920
486	F/V-ATP synthase subunit C superfamily	IPR035921
487	NusB-like superfamily	IPR035926
488	DUSP-like superfamily	IPR035927
489	FomD-like superfamily	IPR035930
490	HflD-like superfamily	IPR035932
491	MutM-like, N-terminal	IPR035937
492	Hemerythrin-like superfamily	IPR035938
493	CAP superfamily	IPR035940
494	Rhomboid-like superfamily	IPR035952
495	RimP, N-terminal domain superfamily	IPR035956
496	Crustacean CHH/MIH/GIH neurohormone superfamily	IPR035957
497	SecB-like superfamily	IPR035958
498	RutC-like superfamily	IPR035959
499	FERM superfamily, second domain	IPR035963
500	PAS domain superfamily	IPR035965
501	Phosphofructokinase superfamily	IPR035966
502	ATP synthase, F1 complex, gamma subunit superfamily	IPR035968
503	Rab-GAP-TBC domain superfamily	IPR035969
504	Cellulose-binding domain superfamily	IPR035971
505	Gamma-carboxyglutamic acid-rich (GLA) domain superfamily	IPR035972
506	Cytochrome c oxidase subunit III-like superfamily	IPR035973
507	Sushi/SCR/CCP superfamily	IPR035976
508	Large ribosomal subunit protein bL36 superfamily	IPR035977
509	RNA-binding domain superfamily	IPR035979
510	Small ribosomal subunit protein bS6 superfamily	IPR035980
511	HECT, E3 ligase catalytic domain	IPR035983
512	Ubiquitin-activating enzyme	IPR035985
