label	element_name	interpro_id
572	UvrD-like helicase, ATP-binding domain	IPR014016
573	UvrD-like DNA helicase, C-terminal	IPR014017
574	SecA motor DEAD	IPR014018
575	Translation elongation factor EF1B, beta/delta subunit, guanine nucleotide exchange domain	IPR014038
576	Acyl transferase domain	IPR014043
577	CAP domain	IPR014044
578	Double-stranded RNA-binding domain	IPR014720
579	MutL, C-terminal, dimerisation	IPR014790
580	Transcription factor, NikR, nickel binding C-terminal	IPR014864
581	tRNA(Ile)-lysidine synthase, substrate-binding domain	IPR015262
582	Cysteinyl-tRNA synthetase, class Ia, DALR	IPR015273
583	GTP-binding protein OBG, C-terminal	IPR015349
584	Elongation factor P, C-terminal	IPR015365
585	Zinc ribbon, NADH pyrophosphatase	IPR015376
586	SurA N-terminal	IPR015391
587	Spastin/Vps4, C-terminal	IPR015415
588	Formin, FH2 domain	IPR015425
589	Acetaldehyde dehydrogenase, C-terminal	IPR015426
590	Exoribonuclease, phosphorolytic domain 2	IPR015847
591	Polyribonucleotide nucleotidyltransferase, RNA-binding domain	IPR015848
592	Serine-tRNA synthetase, type1, N-terminal	IPR015866
593	S-adenosyl-L-homocysteine hydrolase, NAD binding domain	IPR015878
594	DNA glycosylase/AP lyase, H2TH DNA-binding	IPR015886
595	Tetrapyrrole biosynthesis, glutamyl-tRNA reductase, dimerisation domain	IPR015896
596	Peptidase S24/S26A/S26B/S26C	IPR015927
597	Fumarate reductase/succinate dehydrogenase flavoprotein-like, C-terminal	IPR015939
598	Ubiquitin-associated domain	IPR015940
599	Recombination protein RecR, zinc finger domain	IPR015967
600	Ly-6 antigen/uPA receptor-like	IPR016054
601	Staphylococcal nuclease (SNase-like), OB-fold	IPR016071
602	Phospholipase A2 domain	IPR016090
603	ProQ/FinO domain	IPR016103
604	RGS domain	IPR016137
605	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain	IPR016140
606	FAD-binding domain, PCMH-type	IPR016166
607	Insulin-like	IPR016179
608	PSI domain	IPR016201
609	Ribulose bisphosphate carboxylase, large subunit, ferrodoxin-like N-terminal	IPR017443
610	F-box associated interaction domain	IPR017451
611	GPCR, rhodopsin-like, 7TM	IPR017452
612	CTP synthase, N-terminal	IPR017456
613	Glycosyl transferase family 3, N-terminal domain	IPR017459
614	PotA, ATP-binding domain	IPR017879
615	SANT domain	IPR017884
616	4Fe-4S ferredoxin-type, iron-sulphur binding domain	IPR017896
617	FAD-binding domain, ferredoxin reductase-type	IPR017927
618	Myb domain	IPR017930
619	Glutamine amidotransferase type 2 domain	IPR017932
620	DNA polymerase, Y-family, little finger domain	IPR017961
621	Asn/Gln amidotransferase	IPR018027
622	DNA binding HTH domain, AraC-type	IPR018060
623	Alanyl-tRNA synthetase, class IIc, core domain	IPR018165
624	Tubulin/FtsZ, 2-layer sandwich domain	IPR018316
625	LysM domain	IPR018392
626	NIL domain	IPR018449
627	Sporulation transcription regulator WhiA, N-terminal domain	IPR018478
628	FtsK gamma domain	IPR018541
629	GTP-binding protein TrmE, N-terminal	IPR018948
630	Rhodopsin, N-terminal	IPR019477
631	Sirohaem synthase, dimerisation domain	IPR019478
632	Peroxiredoxin, C-terminal	IPR019479
633	Clp ATPase, C-terminal	IPR019489
634	Valyl-tRNA synthetase, tRNA-binding arm	IPR019499
635	Peptidase S26	IPR019533
636	Galactokinase, N-terminal domain	IPR019539
637	Pyridoxine 5'-phosphate oxidase, dimerisation, C-terminal	IPR019576
638	Band 4.1 domain	IPR019749
639	Zinc finger, PHD-finger	IPR019787
640	Translation initiation factor 3, N-terminal	IPR019814
641	Translation initiation factor 3, C-terminal	IPR019815
642	Manganese/iron superoxide dismutase, N-terminal	IPR019831
643	Manganese/iron superoxide dismutase, C-terminal	IPR019832
644	LPXTG cell wall anchor domain	IPR019931
645	DivIVA domain	IPR019933
646	Large ribosomal subunit protein uL6, alpha-beta domain	IPR020040
647	Large ribosomal subunit protein bL25, beta domain	IPR020057
648	Glutamyl/glutaminyl-tRNA synthetase, class Ib, catalytic domain	IPR020058
649	Glutamyl/glutaminyl-tRNA synthetase, class Ib, anti-codon binding domain	IPR020059
650	Large ribosomal subunit protein bL9, C-terminal	IPR020069
651	Large ribosomal subunit protein bL9, N-terminal	IPR020070
652	Dual specificity protein phosphatase domain	IPR020422
653	Thil, AANH domain	IPR020536
654	Aspartate carbamoyltransferase regulatory subunit, C-terminal	IPR020542
655	Aspartate carbamoyltransferase regulatory subunit, N-terminal	IPR020545
656	ATP synthase, F1 complex, delta/epsilon subunit, N-terminal	IPR020546
657	ATP synthase epsilon subunit, C-terminal domain	IPR020547
658	Phosphoribosylglycinamide synthetase, C-domain	IPR020560
659	Phosphoribosylglycinamide synthetase, N-terminal	IPR020562
660	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, non-repeat region	IPR020573
661	Heat shock protein Hsp90, N-terminal	IPR020575
662	GTP cyclohydrolase I domain	IPR020602
663	Thiolase, N-terminal	IPR020616
664	Thiolase, C-terminal	IPR020617
665	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain	IPR020630
666	Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain	IPR020631
667	Enolase, C-terminal TIM barrel domain	IPR020810
668	Enolase, N-terminal	IPR020811
669	Glyceraldehyde 3-phosphate dehydrogenase, NAD(P) binding domain	IPR020828
670	Glyceraldehyde 3-phosphate dehydrogenase, catalytic domain	IPR020829
671	Polyketide synthase, beta-ketoacyl synthase domain	IPR020841
672	Polyketide synthase, enoylreductase domain	IPR020843
673	Major facilitator superfamily domain	IPR020846
674	Arginine repressor, C-terminal	IPR020899
675	Arginine repressor, DNA-binding domain	IPR020900
676	Lactate/malate dehydrogenase, C-terminal	IPR022383
677	Porphobilinogen deaminase, N-terminal	IPR022417
678	Porphobilinogen deaminase, C-terminal	IPR022418
679	DNA replication/recombination mediator RecO, N-terminal	IPR022572
680	Dihydrodipicolinate reductase, C-terminal	IPR022663
681	Large ribosomal subunit protein uL2, RNA-binding domain	IPR022666
682	Large ribosomal subunit protein uL2, C-terminal	IPR022669
683	Transcription elongation factor, GreA/GreB, N-terminal	IPR022691
684	RNA polymerase recycling, bacterial, C-terminal	IPR022737
685	Thiamine phosphate synthase/TenI	IPR022998
686	Sporulation regulator WhiA, C-terminal	IPR023054
687	YozE SAM-like domain	IPR023089
688	Translation initiation factor IF- 2, domain 3	IPR023115
689	Tetrahydrodipicolinate-N-succinyltransferase, chain A, domain 1	IPR023180
690	14-3-3 domain	IPR023410
691	Ribonuclease A-domain	IPR023412
692	Thymidylate synthase/dCMP hydroxymethylase domain	IPR023451
693	Phosphotyrosine protein phosphatase I	IPR023485
694	Cytochrome c oxidase-like, subunit I domain	IPR023616
695	FAD/NAD(P)-binding domain	IPR023753
696	Small ribosomal subunit protein uS7 domain	IPR023798
697	Isopropylmalate dehydrogenase-like domain	IPR024084
698	Ribonuclease HII/HIII domain	IPR024567
699	Ribonuclease HIII, N-terminal	IPR024568
700	DnaA N-terminal domain	IPR024633
701	Rubredoxin-like domain	IPR024934
702	Sulphate adenylyltransferase catalytic domain	IPR024951
703	Polyphosphate kinase middle domain	IPR024953
704	Polyphosphate kinase N-terminal domain	IPR025198
705	Polyphosphate kinase C-terminal domain 2	IPR025200
706	ATP-dependent rRNA helicase SPB4-like, C-terminal extension	IPR025313
707	Leucyl-tRNA synthetase, editing domain	IPR025709
708	Methyltransferase domain	IPR025714
709	Anion-transporting ATPase-like domain	IPR025723
710	ThiC-associated domain	IPR025747
711	OB-fold nucleic acid binding domain	IPR025824
712	Beta-defensin domain	IPR025933
713	ATP-sulfurylase PUA-like domain	IPR025980
714	Sirtuin family, catalytic core domain	IPR026590
715	Phosphohydrolase-associated domain	IPR026875
716	DXP reductoisomerase, C-terminal domain	IPR026877
717	Fibronectin type III-like domain	IPR026891
718	PRC-barrel domain	IPR027275
719	YcgL domain	IPR027354
720	Cardiolipin synthase N-terminal	IPR027379
721	Cation efflux protein, cytoplasmic domain	IPR027470
722	Small ribosomal subunit protein uS10 domain	IPR027486
723	MCM, N-terminal domain	IPR027925
724	Membrane insertase YidC, N-terminal	IPR028053
725	Siroheme synthase, central domain	IPR028281
726	Ubiquitin specific protease domain	IPR028889
727	SAICAR synthetase/ADE2, N-terminal	IPR028923
728	Ribosome maturation factor RimP, N-terminal	IPR028989
729	Ribosome maturation factor RimP, C-terminal	IPR028998
730	dUTPase-like	IPR029054
731	Ribose-phosphate pyrophosphokinase, N-terminal domain	IPR029099
732	NADPH-dependent 7-cyano-7-deazaguanine reductase, N-terminal	IPR029139
733	GAD domain	IPR029351
734	DNA polymerase, helix-hairpin-helix motif	IPR029460
735	Pleiotropic ABC efflux transporter, N-terminal domain	IPR029481
736	Large ribosomal subunit protein bL25, L25 domain	IPR029751
737	Polyamine biosynthesis domain	IPR030374
738	Septin-type guanine nucleotide-binding (G) domain	IPR030379
739	Dynamin-type guanine nucleotide-binding (G) domain	IPR030381
740	Era-type guanine nucleotide-binding (G) domain	IPR030388
741	EngB-type guanine nucleotide-binding (G) domain	IPR030393
742	F-BAR domain	IPR031160
743	EngA-type guanine nucleotide-binding (G) domain	IPR031166
744	OBG-type guanine nucleotide-binding (G) domain	IPR031167
745	TrmE-type guanine nucleotide-binding domain	IPR031168
746	Large ribosomal subunit protein uL5, C-terminal	IPR031309
747	Large ribosomal subunit protein uL5, N-terminal	IPR031310
748	Alpha-amylase, C-terminal domain	IPR031319
749	Glycoside hydrolase 35, catalytic domain	IPR031330
750	Synaptotagmin-like mitochondrial-lipid-binding domain	IPR031468
751	Cadherin, C-terminal catenin-binding domain	IPR031904
752	Ribosome biogenesis GTPase RsgA, N-terminal	IPR031944
753	Starter unit:ACP transacylase	IPR032088
754	Peptide chain release factor 3, C-terminal	IPR032090
755	Menaquinone biosynthesis protein MenD, middle domain	IPR032264
756	RND efflux pump, membrane fusion protein, barrel-sandwich domain	IPR032317
757	Polyribonucleotide 5'-hydroxyl-kinase Clp1, P-loop domain	IPR032319
758	Proteasomal ATPase, second OB domain	IPR032501
759	MukB, hinge domain	IPR032520
760	tRNA synthetases class I, catalytic domain	IPR032678
761	CCA-adding enzyme, C-terminal	IPR032810
762	VTT domain	IPR032816
763	tRNA nucleotidyltransferase/poly(A) polymerase, RNA and SrmB- binding domain	IPR032828
764	GTPase Der, C-terminal KH-domain-like	IPR032859
765	DYW domain	IPR032867
766	Peptidase family A1 domain	IPR033121
767	Glycosyl hydrolases family 11 (GH11) domain	IPR033123
768	Transketolase, C-terminal domain	IPR033248
769	Fructose-1-6-bisphosphatase class I, N-terminal	IPR033391
770	Chromosome partition protein MukF, winged-helix domain	IPR033439
771	Chromosome partition protein MukF, middle domain	IPR033440
772	Histidyl-anticodon-binding	IPR033656
773	Isoleucyl tRNA synthetase type 1, anticodon-binding domain	IPR033708
774	Isoleucyl tRNA synthetase type 2, anticodon-binding domain	IPR033709
775	Elongation factor Tu, domain 2	IPR033720
776	Prolyl-tRNA synthetase, catalytic domain	IPR033721
777	Threonine-tRNA ligase catalytic core domain	IPR033728
778	Serine-tRNA ligase catalytic core domain	IPR033729
779	Prokaryote proline-tRNA ligase core domain	IPR033730
780	ATP synthase, F1 complex, alpha subunit nucleotide-binding domain	IPR033732
781	MADS MEF2-like	IPR033896
782	Trans-isoprenyl diphosphate synthases, head-to-head	IPR033904
783	Glutamyl-tRNA synthetase	IPR033910
784	Methioninyl-tRNA synthetase core domain	IPR033911
785	3-isopropylmalate dehydratase, swivel domain	IPR033940
786	3-Isopropylmalate dehydratase, catalytic domain	IPR033941
787	Cobyric acid synthase, glutamine amidotransferase type 1	IPR033949
788	Natural killer cell receptor-like, C-type lectin-like domain	IPR033992
789	Translationally controlled tumour protein (TCTP) domain	IPR034737
790	POTRA domain	IPR034746
791	Nucleoside diphosphate kinase-like domain	IPR034907
792	Urocanase, Rossmann-like domain	IPR035085
793	RNA chaperone ProQ, C-terminal	IPR035236
794	Urocanase, N-terminal domain	IPR035400
795	Urocanase, C-terminal domain	IPR035401
796	GlmS/FrlB, SIS domain 2	IPR035490
797	DUS-like, FMN-binding domain	IPR035587
798	MraZ, N-terminal	IPR035642
799	MraZ, C-terminal	IPR035644
800	Hydroxyacylglutathione hydrolase, MBL domain	IPR035680
801	Arginyl-tRNA synthetase, catalytic core domain	IPR035684
802	4-hydroxy-2-oxovalerate aldolase, N-terminal catalytic TIM barrel domain	IPR035685
803	Large ribosomal subunit protein uL30, eukaryotic/archaeal	IPR035808
804	FMN hydroxy acid dehydrogenase domain	IPR037396
805	MPN domain	IPR037518
806	Vicinal oxygen chelate (VOC) domain	IPR037523
807	GlmU, C-terminal LbH domain	IPR038009
808	PD-(D/E)XK endonuclease-like domain, AddAB-type	IPR038726
809	Intermediate filament, rod domain	IPR039008
810	WhiA, LAGLIDADG-like domain	IPR039518
811	BetI-type transcriptional repressor, C-terminal	IPR039538
812	Membrane fusion protein, biotin-lipoyl like domain	IPR039562
813	tRNA uridine(34) hydroxylase, N-terminal	IPR040503
814	RlmM ferredoxin-like domain	IPR040739
815	RapA, N-terminal Tudor like domain 1	IPR040765
816	RapA, N-terminal Tudor-like domain 2	IPR040766
817	DNA polymerase III alpha subunit finger domain	IPR040982
818	FtsK alpha domain	IPR041027
819	Elongation Factor G, domain II	IPR041095
820	PKHD-type hydroxylase C-terminal domain	IPR041097
821	UvrA, interaction domain	IPR041102
822	RimK, preATP-grasp domain	IPR041107
823	Polyphosphate kinase, C-terminal domain 1	IPR041108
824	Arginine decarboxylase, C-terminal helical	IPR041128
825	CinA, KH domain	IPR041424
826	RuvB, AAA lid domain	IPR041445
827	ClpA/ClpB, AAA lid domain	IPR041546
828	AAA ATPase, AAA+ lid domain	IPR041569
829	Phenylalanyl tRNA synthetase beta chain, core domain	IPR041616
830	Proteasomal ATPase, N-terminal OB domain	IPR041626
831	Methionyl-tRNA formyltransferase, N-terminal domain	IPR041711
832	Class II Histidinyl-tRNA synthetase (HisRS)-like catalytic core domain	IPR041715
833	GPAT/DHAPAT, acyltransferase domain	IPR041728
834	Glutamate-5-kinase domain	IPR041739
835	Methionyl-tRNA synthetase, anticodon-binding domain	IPR041872
836	Nitrate reductase NapA-like, molybdopterin-binding domain	IPR041957
837	Small ribosomal subunit protein eS4, KOW domain	IPR041982
838	Large ribosomal subunit protein uL24, KOW domain	IPR041988
839	HscA chaperone, nucleotide-binding domain	IPR042039
840	Fructose-1-6-bisphosphatase class 1, C-terminal	IPR044015
841	LCN-type cysteine-stabilized alpha/beta (CS-alpha/beta) domain	IPR044062
842	Core-binding (CB) domain	IPR044068
843	Lysine-tRNA ligase, class II, N-terminal	IPR044136
844	Sulfate adenylyltransferase subunit CysN, Domain II	IPR044138
845	Sulfate adenylyltransferase subunit CysN, Domain III	IPR044139
846	Proline--tRNA ligase, anticodon binding domain	IPR044140
847	Glycogen branching enzyme GlgB, N-terminal Early set domain	IPR044143
848	Translation initiation factor IF-2, domain II	IPR044145
849	Beta-lactamase class A, catalytic domain	IPR045155
850	Apolipoprotein N-acyltransferase, N-terminal	IPR045378
851	Aminoacyl-tRNA synthetase, class I, anticodon-binding	IPR045462
852	YegS/DAGK, C-terminal domain	IPR045540
853	NAD(P)H-quinone oxidoreductase subunit 2, N-terminal	IPR045693
854	Bifunctional polymyxin resistance protein ArnA-like, extended (e) SDRs	IPR045869
855	T-box transcription factor, DNA-binding domain	IPR046360
856	Anamorsin, C-terminal	IPR046408
857	Homogentisate 1,2-dioxygenase, C-terminal domain	IPR046451
858	Homogentisate 1,2-dioxygenase, N-terminal domain	IPR046452
859	Sey1/RHD3-like, three-helix bundle domain	IPR046758
860	UPF0758, N-terminal	IPR046778
861	Isocitrate dehydrogenase kinase/phosphatase (AceK), regulatory domain	IPR046854
862	Isocitrate dehydrogenase kinase/phosphatase (AceK), kinase domain	IPR046855
863	MutS2 and Smr-associated SH3 domain	IPR046893
864	tRNA uridine 5-carboxymethylaminomethyl modification enzyme, C-terminal subdomain	IPR047001
865	Aspartate-tRNA ligase, type 1, anticodon recognition domain	IPR047089
866	Membrane insertase YidC/ALB, C-terminal	IPR047196
867	Threonine-tRNA ligase, class IIa, anticodon-binding domain	IPR047246
868	Sm domain	IPR047575
869	Replication factor C, lid domain	IPR047854
870	Cytochrome b/b6, C-terminal domain, eukaryotic/bacterial	IPR048260
871	Arginosuccinate synthase-like, N-terminal domain	IPR048267
872	Arginosuccinate synthase C-terminal domain	IPR048268
873	3-octaprenyl-4-hydroxybenzoate carboxy-lyase-like, Rift-related domain	IPR048304
874	tRNA-modifying protein YgfZ-like, beta-barrel domain	IPR048451
875	Ribosomal RNA small subunit methyltransferase F, pre-PUA domain	IPR048457
876	YchJ-like, middle NTF2-like domain	IPR048469
877	Dual-specificity RNA methyltransferase RlmN, N-terminal domain	IPR048641
878	Ribosomal RNA large subunit methyltransferase M, THUMP-like domain	IPR048646
879	Translation initiation factor 5A-like, N-terminal	IPR048670
880	PurT, C-terminal	IPR048740
881	Xaa-Pro dipeptidase, N-terminal domain	IPR048819
882	Ppx/GppA phosphatase, C-terminal	IPR048950
883	ATP-dependent helicase/deoxyribonuclease subunit B, N-terminal	IPR049035
884	TACO1/YebC-like, N-terminal domain	IPR049083
885	RecA-like, C-terminal	IPR049261
886	tRNA uridine 5-carboxymethylaminomethyl modification enzyme, C-terminal, N-terninal subdomain	IPR049312
887	Glycine cleavage system P-protein, N-terminal domain	IPR049315
888	Glycine dehydrogenase, C-terminal domain	IPR049316
889	3-octaprenyl-4-hydroxybenzoate carboxy-lyase-like, C-terminal domain	IPR049381
890	3-octaprenyl-4-hydroxybenzoate carboxy-lyase-like, N-terminal domain	IPR049383
891	tRNA synthetases class I (E and Q), anti-codon binding domain	IPR049437
892	SNF2/RAD5-like, C-terminal helicase domain	IPR049730
893	Polyketide/metazoan fatty acid synthase, dehydratase domain	IPR049900
894	ThiI, THUMP domain	IPR049962
895	PB1-like domain	IPR053793
896	DNA polymerase IV/DNA polymerase iota-like, thumb domain	IPR053848
897	Elongation factor G-like, domain II	IPR053905
898	RecX, second three-helical domain	IPR053924
899	RecX, third three-helical domain	IPR053925
900	RecX, first three-helical domain	IPR053926
901	RapZ-like, N-terminal domain	IPR053930
902	RapZ, C-terminal domain	IPR053931
903	K+ potassium transporter, integral membrane domain	IPR053951
904	K+ potassium transporter, C-terminal domain	IPR053952
905	1,4-alpha-glucan branching enzyme GlgB, N-terminal domain	IPR054169
906	PurT/PurK-like, preATP-grasp domain	IPR054350
907	Nucleoid occlusion factor SlmA-like, C-terminal	IPR054580
908	Lon protease, AAA+ ATPase lid domain	IPR054594
909	Tyrosine--tRNA ligase SYY-like, C-terminal domain	IPR054608
910	2-isopropylmalate synthase/homocitrate synthase, post-catalytic domain	IPR054691
911	Transketolase-like, C-terminal domain	IPR055152
912	Transcriptional repressor NrdR-like, N-terminal domain	IPR055173
913	ATP synthase A/B type, C-terminal domain	IPR055190
914	Hda, lid domain	IPR055199
915	F-box/LRR-repeat protein 15/At3g58940/PEG3-like, LRR domain	IPR055411
916	Disease resistance R13L4/SHOC-2-like, LRR domain	IPR055414
